epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.971,0,14.4365,0,0,0,0,0,0,27.4095,0,0.000652482,0.000652482,0.000652482
2,295.926,0,13.2605,0,0,0,0,0,0,26.3044,0,0.00129303,0.00129303,0.00129303
3,438.962,0,11.8948,0,0,0,0,0,0,72.5978,0,0.00190718,0.00190718,0.00190718
4,586.501,0,10.935,0,0,0,0,0,0,13.3696,0,0.0018812,0.0018812,0.0018812
5,720.203,0,10.1769,0,0,0,0,0,0,13.751,0,0.0018416,0.0018416,0.0018416
6,854.193,0,9.48797,0,0,0,0,0,0,13.8436,0,0.001802,0.001802,0.001802
7,986.918,0,8.88477,0,0,0,0,0,0,14.7587,0,0.0017624,0.0017624,0.0017624
8,1120.45,0,8.45023,0,0,0,0,0,0,13.8189,0,0.0017228,0.0017228,0.0017228
9,1253.65,0,8.02471,0,0,0,0,0,0,13.2192,0,0.0016832,0.0016832,0.0016832
10,1404.7,0,7.74285,0,0,0,0,0,0,13.2459,0,0.0016436,0.0016436,0.0016436
11,1537.88,0,7.3801,0,0,0,0,0,0,12.9855,0,0.001604,0.001604,0.001604
12,1672.61,0,7.04512,0,0,0,0,0,0,12.636,0,0.0015644,0.0015644,0.0015644
13,1830.82,0,6.73458,0,0,0,0,0,0,11.9279,0,0.0015248,0.0015248,0.0015248
14,1983.55,0,6.46865,0,0,0,0,0,0,11.3849,0,0.0014852,0.0014852,0.0014852
15,2134.23,0,6.22362,0,0,0,0,0,0,10.7348,0,0.0014456,0.0014456,0.0014456
16,2300.4,0,5.98306,0,0,0,0,0,0,10.3215,0,0.001406,0.001406,0.001406
17,2484.07,0,5.76478,0,0,0,0,0,0,10.1837,0,0.0013664,0.0013664,0.0013664
18,2630.61,0,5.53986,0,0,0,0,0,0,10.074,0,0.0013268,0.0013268,0.0013268
19,2773.94,0,5.34416,0,0,0,0,0,0,9.41959,0,0.0012872,0.0012872,0.0012872
20,2921.61,0,5.14012,0,0,0,0,0,0,8.99164,0,0.0012476,0.0012476,0.0012476
21,3071.46,0,4.97652,0,0,0,0,0,0,8.34847,0,0.001208,0.001208,0.001208
22,3221.02,0,4.79431,0,0,0,0,0,0,8.13208,0,0.0011684,0.0011684,0.0011684
23,3367.33,0,4.65098,0,0,0,0,0,0,7.72865,0,0.0011288,0.0011288,0.0011288
24,3517.69,0,4.48339,0,0,0,0,0,0,7.71017,0,0.0010892,0.0010892,0.0010892
25,3666.63,0,4.36006,0,0,0,0,0,0,7.57331,0,0.0010496,0.0010496,0.0010496
26,3816.33,0,4.21922,0,0,0,0,0,0,7.60528,0,0.00101,0.00101,0.00101
27,3966.23,0,4.10072,0,0,0,0,0,0,7.46356,0,0.0009704,0.0009704,0.0009704
28,4115.85,0,3.98154,0,0,0,0,0,0,7.14587,0,0.0009308,0.0009308,0.0009308
29,4289.49,0,3.87699,0,0,0,0,0,0,7.04715,0,0.0008912,0.0008912,0.0008912
30,4442.57,0,3.76954,0,0,0,0,0,0,6.88538,0,0.0008516,0.0008516,0.0008516
31,4605.84,0,3.67458,0,0,0,0,0,0,6.76081,0,0.000812,0.000812,0.000812
32,4752.14,0,3.58621,0,0,0,0,0,0,6.44039,0,0.0007724,0.0007724,0.0007724
33,4912.54,0,3.50451,0,0,0,0,0,0,6.39188,0,0.0007328,0.0007328,0.0007328
34,5051.63,0,3.42841,0,0,0,0,0,0,6.19357,0,0.0006932,0.0006932,0.0006932
35,5192.04,0,3.35155,0,0,0,0,0,0,6.09652,0,0.0006536,0.0006536,0.0006536
36,5331.13,0,3.28739,0,0,0,0,0,0,5.93418,0,0.000614,0.000614,0.000614
37,5470.9,0,3.22041,0,0,0,0,0,0,5.8674,0,0.0005744,0.0005744,0.0005744
38,5611.19,0,3.16819,0,0,0,0,0,0,5.73234,0,0.0005348,0.0005348,0.0005348
39,5750.4,0,3.10576,0,0,0,0,0,0,5.65733,0,0.0004952,0.0004952,0.0004952
40,5890.45,0,3.06318,0,0,0,0,0,0,5.60712,0,0.0004556,0.0004556,0.0004556
41,6030.97,0,3.01486,0,0,0,0,0,0,5.53012,0,0.000416,0.000416,0.000416
42,6171.32,0,2.97842,0,0,0,0,0,0,5.48806,0,0.0003764,0.0003764,0.0003764
43,6311.26,0,2.94345,0,0,0,0,0,0,5.40038,0,0.0003368,0.0003368,0.0003368
44,6450.25,0,2.91326,0,0,0,0,0,0,5.35147,0,0.0002972,0.0002972,0.0002972
45,6591.78,0,2.88679,0,0,0,0,0,0,5.2769,0,0.0002576,0.0002576,0.0002576
46,6730.63,0,2.86433,0,0,0,0,0,0,5.25776,0,0.000218,0.000218,0.000218
47,6870.73,0,2.84543,0,0,0,0,0,0,5.22032,0,0.0001784,0.0001784,0.0001784
48,7010.73,0,2.83036,0,0,0,0,0,0,5.20915,0,0.0001388,0.0001388,0.0001388
49,7166.52,0,2.81972,0,0,0,0,0,0,5.17712,0,9.92e-05,9.92e-05,9.92e-05
50,7381.55,0,2.81207,0,0,0,0,0,0,5.17259,0,5.96e-05,5.96e-05,5.96e-05
